"MODEL_ID","BRAND_ID","MODEL_NAME","MODEL_YEAR","SEGMENT","RELEASE_DATE","VIEW_COUNT","LIKE_COUNT"
20001,20002,EV9,,,,5,0
20002,20002,CARNIVAL_HI_LIMOUSINE,2025,SUV,,3,0
20003,20002,NIRO_EV,2025,SUV,,1,0
20004,20002,K8,2026,,,5,0
20005,20002,RAY_EV,2025,COMPACT,,2,0
20006,20002,K9,2025,SEDAN,,8,0
20007,20002,Niro,2025,SUV,,2,0
20008,20002,EV4,2026,SEDAN,,3,0
20009,20002,K5,2025,SEDAN,,21,0
20010,20002,MORNING,2026,COMPACT,2026-01-01 00:00:00.000,11,0
20011,20001,Electrified G80,2025,SEDAN,,4,0
20012,20001,GV70,,SUV,,44,0
20013,20002,EV6,2026,SUV,,6,0
20014,20002,EV3,2024,SUV,,11,0
20015,20002,EV5,2026,SUV,,2,0
20016,20002,SELTOS,2026,SUV,,0,0
20017,20002,Ray,,COMPACT,,3,0
20018,20002,Sorento,2025,SUV,,3,0
20019,20002,Sportage,2026,SUV,,2,0
20020,20002,CARNIVAL,2025,SUV,,9,0
20021,20003,X5,2025,SUV,2025-01-01 00:00:00.000,0,0
40001,40005,Highlander,2023,SUV,,0,0
40002,40005,GR86,2023,ETC,,0,0
40003,40005,Camry,2025,SEDAN,,0,0
40004,40001,All-New Colorado,2025,ETC,,0,0
40005,40001,Trax Crossover,2025,SUV,,1,0
40006,40001,The New Trailblazer,2026,SUV,,1,0
40007,40002,Arkana,2026,SUV,,1,0
40008,40002,Koleos,2026,SUV,,0,0
40009,40002,Scenic,2026,ETC,,0,0
40010,40003,Mustang,2025,ETC,2025-02-03 00:00:00.000,0,0
40011,40003,Explorer,2025,SUV,2025-01-03 00:00:00.000,0,0
40012,40003,Expedition,2024,SUV,2025-01-03 00:00:00.000,0,0
40013,40003,Ranger,2025,ETC,2025-01-03 00:00:00.000,0,0
40014,40003,Bronco,2024,SUV,2025-01-03 00:00:00.000,0,0
40015,40004,Wrangler,,SUV,,1,0
40016,40005,PRIUS PHEV,,,,0,0
40017,40005,CROWN,,,,0,0
40018,40005,RAV4 PHEV,,,,0,0
40019,40005,ALPHARD,,,,0,0
40020,40005,SIENNA,,,,0,0
60001,60001,GLA-Class,2026,SUV,,365145,5747
60002,60001,A-Class,2026,SEDAN,,11,0
60003,60001,GLB-Class,2025,SUV,,14,0
60004,60001,MAYBACH GLS600,2026,SUV,,8,0
60005,60001,C-Class,2025,SEDAN,,13,0
60006,60002,Model 3,2025,SEDAN,,7,0
60007,60002,Model S,2025,SEDAN,,8,0
60008,60002,Model Y,2025,SUV,,17,0
60009,60002,Cybertruck,2025,SUV,,5,0
60010,60003,Bentayga,2025,SUV,,7,0
60011,60003,The New Flying Spur,2024,SEDAN,,4,0
60012,60002,Model X,2025,SUV,,8,0
60013,60004,Urus,2022,SUV,2022-09-01 00:00:00.000,5,0
60014,60005,Ghost Series II,2025,SEDAN,2025-03-01 00:00:00.000,8,0
60015,60006,Grecale,2026,SUV,2025-10-01 00:00:00.000,7,0
60016,60007,S90,2026,SEDAN,2025-07-01 00:00:00.000,5,1
60017,60007,EX40,2025,SUV,2025-04-01 00:00:00.000,4,0
60018,60007,XC90,2026,SUV,2025-07-01 00:00:00.000,12,0
80001,1,Santa Fe,2026,SUV,,452375,471
80005,2,A8,,SEDAN,,17792,288
1,1,AVANTE,2026,SEDAN,2025-04-15 00:00:00.000,11,0
2,1,SONATA_THE_EDGE,2026,SEDAN,2026-01-01 00:00:00.000,21,0
4,1,KONA,2025,SUV,2025-04-23 00:00:00.000,22,0
5,1,KONA_HYBRID,2025,SUV,2025-04-23 00:00:00.000,8,0
3,1,SONATA_THE_EDGE_HYBRID,2026,SEDAN,2026-01-01 00:00:00.000,10,0
9,1,TUCSON_NX4,2026,SUV,2025-08-07 00:00:00.000,24,0
10,1,NEXO,2025,SUV,2025-06-10 00:00:00.000,21,0
6,1,GRANDEUR_GN7,2026,SEDAN,2026-01-01 00:00:00.000,22,0
7,1,GRANDEUR_GN7_HYBRID,2026,SEDAN,2026-01-01 00:00:00.000,16,0
8,1,PALISADE_LX3,2025,SUV,2025-01-15 00:00:00.000,17,0
11,1,IONIQ6,2025,SEDAN,2025-07-28 00:00:00.000,13,0
12,3,ATLAS,2025,SUV,2026-01-31 00:00:00.000,2,0
13,3,GOLF,2025,HATCHBACK,2026-01-31 00:00:00.000,3,0
14,3,TOUAREG,2025,SUV,2026-01-31 00:00:00.000,3,0
15,3,ID.5,2025,SUV,2026-01-31 00:00:00.000,5,0
16,1,AVANTE_HYBRID,2026,SEDAN,2025-04-15 00:00:00.000,7,0
17,2,The new Q5,2025,SUV,2025-07-01 00:00:00.000,5,0
80007,60009,"1234",,,,4,0
