"VARIANT_ID","MODEL_ID","ENGINE_TYPE","ENGINE_NAME","DISPLACEMENT_CC","TRANSMISSION","DRIVE_TYPE","FUEL_EFFICIENCY","CO2_EMISSION"
20001,20001,EV,STANDARD_2WD,,,"2WD",,0
20002,20001,EV,LONGRANGE_2WD,,,"2WD",,0
20003,20001,EV,LONGRANGE_4WD,,,"4WD",,0
20004,20002,GASOLINE,스마트스트림 G3.5,,,,,
20005,20002,HYBRID,터보 하이브리드,,,,,
20006,20003,EV,전기모터,,,,,
20007,20004,GASOLINE_2_5,"2.5 가솔린",,,,,
20008,20005,EV,"4인승",,,,,
20009,20005,EV,"2인승밴",,,,,
20010,20005,EV,"1인승밴",,,,,
20011,20004,TURBO_HYBRID,터보 하이브리드,,,,,
20012,20004,GASOLINE_3_5,"3.5 가솔린",,,,,
20013,20004,LPG_3_5,"3.5 LPG",,,,,
20014,20004,LPG_RENTAL_3_5,"3.5 LPG(렌터카)",,,,,
20015,20004,LPG_DISABLED_3_5,"3.5 LPG(장애인 전용 ※장애 KIT 장착차량)",,,,,
20016,20006,GASOLINE,"3.8 가솔린",3778,"8AT",,,
20017,20006,GASOLINE_TURBO,"3.3 가솔린 터보",3342,"8AT",,,
20018,20008,EV,STANDARD_58.3kWh,,"1AT",RWD,,
20019,20008,EV,LONGRANGE_81.4kWh,,"1AT",RWD,,
20020,20009,HYBRID,스마트스트림 G2.0 하이브리드,2000,자동 6단,FWD,,
20021,20009,GASOLINE,스마트스트림 G2.0,2000,자동 6단,FWD,,
20022,20009,GASOLINE_TURBO,스마트스트림 G1.6T-GDI,1600,자동 8단,FWD,,
20023,20009,LPG,스마트스트림 L2.0,2000,자동 6단,FWD,,
20024,20009,LPG_RENTAL,스마트스트림 L2.0 (렌터카),2000,자동 6단,FWD,,
20025,20010,GASOLINE,스마트스트림 G1.0,,,,,
20026,20010,GASOLINE,스마트스트림 G1.0 VAN,,,,,
20027,20007,HYBRID,"1.6 하이브리드",1580,"6DCT",,,
20028,20011,EV,Dual Motor,,,AWD,,
20029,20012,GASOLINE,"2.5 TURBO",2497,"8AT",,,
20030,20012,GASOLINE,"3.5 TURBO",,"8AT",,,
20031,20013,EV,STANDARD_63.0kWh,,단일 감속기,,,0
20032,20013,EV,LONGRANGE_84.0kWh,,단일 감속기,,,0
20033,20014,EV,STANDARD_58.3kWh,,,"2WD",,
20034,20014,EV,LONGRANGE_81.4kWh,,,"2WD",,
20035,20015,EV,LONGRANGE,,,,,0
20036,20016,GASOLINE_TURBO,SMARTSTREAM G1.6 T-GDI,,,,,0
20037,20016,GASOLINE,누우 2.0 MPI,,,,,0
20038,20017,GASOLINE,"1.0 가솔린",998,"4AT",,,
20039,20017,GASOLINE,"1.0 가솔린 (2인승 밴)",998,"4AT",,,
20040,20017,GASOLINE,"1.0 가솔린 (1인승 밴)",998,"4AT",,,
20041,20018,GASOLINE_TURBO,"2.5 가솔린 터보 (5인승)",2497,"8DCT","2WD",,
20042,20018,DIESEL,"2.2 디젤 (5인승)",2151,"8DCT","2WD",,
20043,20018,HYBRID_TURBO,"터보 하이브리드 (5인승, 2WD)",1598,"6AT","2WD",,
20044,20018,HYBRID_TURBO,"터보 하이브리드 (5인승, 4WD)",1598,"6AT","4WD",,
20045,20019,GASOLINE_TURBO,"1.6 가솔린 터보",1598,"8AT","2WD",,
20046,20019,LPG,"2.0 LPG",1999,"6AT","2WD",,
20047,20019,HYBRID_TURBO,"1.6 터보 하이브리드",1598,"6AT","2WD",,
20048,20021,GASOLINE_TURBO,"3.0 Turbo",2998,AUTOMATIC,AWD,,
20049,20021,DIESEL,"3.0 Diesel",2993,AUTOMATIC,AWD,,
20050,20021,GASOLINE_TURBO,"4.4 V8 Turbo",4395,AUTOMATIC,AWD,,
20051,20020,GASOLINE,"3.5 가솔린_9인승",3470,"8단 자동",,,0
20052,20020,GASOLINE,"3.5 가솔린_7인승",3470,"8단 자동",,,0
40001,40001,하이브리드,직렬4기통 가솔린(D-4S),2487,e-CVT,사륜구동(E-Four),"13.8/14.4/13.3 km/L",116
40002,40002,가솔린,수평대향 4기통,2387,"6단 수동",후륜구동,"9.5/8.2/11.9 km/L",174
40003,40003,하이브리드,직렬4기통 가솔린 하이브리드,2487,e-CVT,전륜구동,"17.1/17.5/16.7 km/L",92
40004,40004,GASOLINE,"2.7T",2726,"8AT","4WD",,
40005,40005,GASOLINE,Turbo 1.2,1199,"6AT",FWD,,
40006,40006,GASOLINE,E-Turbo 1.35,1341,CVT,AWD / FWD,,
40007,40007,GASOLINE,TCE,,CVT,FWD,,
40008,40008,GASOLINE,TCE,,CVT,AWD / FWD,,
40009,40009,EV,Electric,,EV,FWD,,
40010,40010,GASOLINE,직렬 4기통,2261,"10AT",FR,"9.6 km/L",
40011,40011,GASOLINE,직렬 4기통,2261,"10AT",AWD,"8.7 km/L",
40012,40012,GASOLINE,V형 6기통,3496,"10AT","4WD","7.2 km/L",
40013,40013,DIESEL,직렬 4기통,1996,"10AT","4WD","10.1 km/L",
40014,40014,GASOLINE,직렬 6기통,2261,"10AT",AWD,"8.4 km/L",
40015,40015,GASOLINE,"2.0L Turbo I-4 with ESS",1995,"8AT",Selec-Trac 풀타임 4WD,,
40016,40015,GASOLINE,"2.0L Turbo I-4 with ESS",1995,"8AT",Rock-Trac HD 풀타임 4WD,,
40017,40016,플러그인 하이브리드,,,,,,
40018,40017,하이브리드,,,,,,
40019,40018,플러그인 하이브리드,,,,,,
40020,40019,하이브리드,,,,,,
40021,40020,하이브리드,,,,,,
60001,60001,GASOLINE,"2.0",1991,A/T,"4MATIC","10.8 km/L",
60002,60002,GASOLINE,"2.0",1991,"8AT",FWD,,
60003,60003,GASOLINE,"2.0",1991,A/T,"4MATIC",,
60004,60003,DIESEL,"2.0",1991,A/T,"4MATIC",,
60005,60004,GASOLINE,"4.0",3982,A/T,"4MATIC","6.1",270
60006,60005,GASOLINE,"2.0",1991,A/T,AWD,,
60007,60006,EV,Standard Range,,A/T,RWD,,
60008,60006,EV,Dual Motor,,A/T,AWD,,
60009,60007,EV,Dual Motor,,A/T,AWD,,
60010,60007,EV,Tri Motor,,A/T,AWD,,
60011,60008,EV,Premium,,A/T,RWD,,
60012,60008,EV,Premium Long Range,,A/T,AWD,,
60013,60009,EV,AWD,,A/T,AWD,,
60014,60009,EV,Cyberbeast,,A/T,AWD,,
60015,60010,GASOLINE,"4.0",3996,A/T,AWD,"7.0",
60016,60010,GASOLINE,"4.0 EWB",3996,A/T,AWD,"7.0",
60017,60011,GASOLINE,Turbo 4.0,3996,A/T,AWD,"8.7",
60018,60012,EV,Dual Motor,,A/T,AWD,,
60019,60012,EV,Tri Motor,,A/T,AWD,,
60020,60013,GASOLINE,V8 4.0,3996,A/T,AWD,"6.3",
60021,60014,GASOLINE,V12 6.75 Turbo,6749,A/T,,,
60022,60015,GASOLINE,"2.0 Turbo",1995,A/T,,"9.8",
60023,60015,GASOLINE,"3.0 Turbo",2992,A/T,,,
60024,60016,GASOLINE_TURBO,"2.0 Plug-in Hybrid (T8)",1969,A/T,AWD,"13.0",
60025,60017,EV,Electric,,A/T,,"4.9",
60026,60018,GASOLINE_TURBO,"2.0 Plug-in Hybrid (T8)",1969,A/T,AWD,"11.0",
80001,80001,GASOLINE_TURBO,스마트스트림 가솔린 2.5 터보,,스마트스트림 습식 8단 DCT,,,
80002,80005,GASOLINE_TURBO,V6 가솔린 직분사 터보차저 (TFSI) 엔진,2995,"8단 Tiptronic 자동변속기",상시 사륜구동,"8.3 km/l",209
3,16,HYBRID,GASOLINE_HYBRID_1.6,1580,DCT_6,FWD,"21.1",74
1,1,GASOLINE,SMARTSTREAM_GASOLINE_1.6,1598,IVT,FWD,,
2,1,LPI,LPI_1.6,1591,"6AT",FWD,,
4,2,GASOLINE_TURBO,SMARTSTREAM_GASOLINE_TURBO_1.6,1598,"8AT",FWD,"13.5",123
5,2,GASOLINE,SMARTSTREAM_GASOLINE_2.0,1999,"6AT",FWD,"12.6",132
6,2,LPG,SMARTSTREAM_LPG_2.0,1999,"6AT",FWD,"9.6",136
20,4,GASOLINE,Smartstream G1.6 Turbo,1598,"8AT","2WD",,
21,4,GASOLINE,Smartstream G2.0,1999,IVT,"2WD",,
22,5,HYBRID,Smartstream G1.6 Hybrid,1598,"6DCT","2WD",,
7,3,HYBRID,SMARTSTREAM_GASOLINE_2.0_HYBRID,1999,"6AT",FWD,"19.4",81
8,6,GASOLINE,SMARTSTREAM G2.5,2497,"8AT",FWD,"11.7",143
14,10,FCEV,Hydrogen Fuel Cell,,Single-Speed,FWD,"107.6km/kg",
13,9,GASOLINE,SMARTSTREAM 1.6T,1598,"7DCT",FWD,"12.5",133
12,8,GASOLINE,SMARTSTREAM 2.5T,2497,"8AT",FWD,"9.7",174
16,12,GASOLINE,"2.0 TSI Turbo",1984,"8AT",AWD,"8.5",
9,6,GASOLINE,SMARTSTREAM G3.5,3470,"8AT",FWD,"10.4",163
10,6,LPG,SMARTSTREAM L3.5,3470,"8AT",FWD,"7.8",170
11,7,HYBRID,SMARTSTREAM 1.6T HEV,1598,"6AT",FWD,"18.0",88
15,11,EV,Long Range 2WD,,Single-Speed,RWD,"6.2km/kWh",
17,13,DIESEL,"2.0 TDI",1968,"7DSG",FWD,"17.3",108
18,14,DIESEL,"3.0 TDI",2967,"8AT",AWD,"10.8",180
19,15,EV,Pro,,Single-Speed,RWD,"5.0",
23,17,GASOLINE,"2.0 TFSI",,,quattro,,
24,17,DIESEL,"2.0 TDI",,,quattro,,
80004,80007,,"1234",,,,,
